1150 ta/to.||| max x_gap: 135.0||| mean x_gap: 135.0||| median x_gap: 135.0
Urspr. DM 200 000.-. Lt.H. -V.v.29.9. I||| max x_gap: 300.0||| mean x_gap: 143.5||| median x_gap: 119.0
101 000 Namens-St.-Akt. zu je DM 100. - I||| max x_gap: 263.0||| mean x_gap: 116.625||| median x_gap: 96.0
(Nr. 200 001/200 010 - 498 991/499 000). I||| max x_gap: 267.0||| mean x_gap: 131.0||| median x_gap: 120.0
ber 1953.||| max x_gap: 127.0||| mean x_gap: 127.0||| median x_gap: 127.0
ultimo 1953 115 %||| max x_gap: 247.0||| mean x_gap: 210.0||| median x_gap: 231.0
M 1954 %||| max x_gap: 384.0||| mean x_gap: 348.0||| median x_gap: 348.0
tl 1955 %||| max x_gap: 382.0||| mean x_gap: 353.5||| median x_gap: 353.5
10. Okt. 1956 168,5 %+)||| max x_gap: 245.0||| mean x_gap: 176.0||| median x_gap: 174.0
1951/52: 0%||| max x_gap: 193.0||| mean x_gap: 193.0||| median x_gap: 193.0
1952/53: 4 % (Div.Sch.Nr. 1)||| max x_gap: 241.0||| mean x_gap: 150.0||| median x_gap: 154.5
1953/54: 6 % (Div.Sch.Nr. 2)||| max x_gap: 240.0||| mean x_gap: 149.75||| median x_gap: 155.0
1954/55: 8% (Div.Sch.Nr. 3)||| max x_gap: 242.0||| mean x_gap: 199.666666667||| median x_gap: 192.0
30.9.1954 30.9.1955||| max x_gap: 250.0||| mean x_gap: 250.0||| median x_gap: 250.0
Anlagevermögen 67 909 71 762||| max x_gap: 311.0||| mean x_gap: 155.75||| median x_gap: 112.0
Umlaufvermögen 77 560 96 823||| max x_gap: 166.0||| mean x_gap: 119.5||| median x_gap: 112.5
Vorräte 34 019 47 921||| max x_gap: 328.0||| mean x_gap: 159.25||| median x_gap: 111.5
Barmittel) 5 627 4 736||| max x_gap: 271.0||| mean x_gap: 145.5||| median x_gap: 112.0
Eigenkapital 70 460 70 460||| max x_gap: 262.0||| mean x_gap: 143.25||| median x_gap: 112.0
(davon A.-K.) 40 000 40 000||| max x_gap: 298.0||| mean x_gap: 134.0||| median x_gap: 88.0
Fremdkapital 72 609 94 925||| max x_gap: 239.0||| mean x_gap: 137.5||| median x_gap: 112.5
Gewinn nach Vortrag 2400 3 200||| max x_gap: 223.0||| mean x_gap: 137.2||| median x_gap: 113.0
Löhne und Gehälter 30 333 35 932||| max x_gap: 198.0||| mean x_gap: 118.0||| median x_gap: 100.0
Abschreibungen 7430 8 095||| max x_gap: 228.0||| mean x_gap: 168.333333333||| median x_gap: 189.0
Steuern 12 402 23 352||| max x_gap: 365.0||| mean x_gap: 170.0||| median x_gap: 113.5
Jahresertrag 67 697 86 795||| max x_gap: 247.0||| mean x_gap: 140.25||| median x_gap: 113.5
13,6 km;||| max x_gap: 130.0||| mean x_gap: 130.0||| median x_gap: 130.0
82470 (A-Aktien).||| max x_gap: 256.0||| mean x_gap: 256.0||| median x_gap: 256.0
ultimo 1948 18,25 %||| max x_gap: 214.0||| mean x_gap: 156.666666667||| median x_gap: 150.0
II 1949 59 %||| max x_gap: 243.0||| mean x_gap: 188.0||| median x_gap: 178.0
II 1950 41 %||| max x_gap: 244.0||| mean x_gap: 188.0||| median x_gap: 181.0
II 1951 58 %||| max x_gap: 241.0||| mean x_gap: 188.0||| median x_gap: 176.0
II 1952 67 %||| max x_gap: 245.0||| mean x_gap: 188.0||| median x_gap: 176.0
II 1953 73 %||| max x_gap: 244.0||| mean x_gap: 188.333333333||| median x_gap: 178.0
II 1954 96,5 %||| max x_gap: 245.0||| mean x_gap: 188.333333333||| median x_gap: 190.0
II 1955 91,5 %||| max x_gap: 242.0||| mean x_gap: 188.0||| median x_gap: 192.0
lO.Okt. 1956 81,5 % +)||| max x_gap: 191.0||| mean x_gap: 125.5||| median x_gap: 128.5
1948/49: 7,64 % (Div.Sch.Nr. 39)||| max x_gap: 212.0||| mean x_gap: 141.5||| median x_gap: 137.5
1950 5 % (Div.Sch.Nr. 40)||| max x_gap: 247.0||| mean x_gap: 163.25||| median x_gap: 144.5
19515 % (Div.Sch.Nr. 41)||| max x_gap: 294.0||| mean x_gap: 219.0||| median x_gap: 211.0
19525 % (Div.Sch.Nr. 42)||| max x_gap: 289.0||| mean x_gap: 217.666666667||| median x_gap: 212.0
1953 5 % (Div.Sch.Nr. 43)||| max x_gap: 247.0||| mean x_gap: 163.25||| median x_gap: 144.5
1954 5 % (Div.Sch.Nr. 44)||| max x_gap: 289.0||| mean x_gap: 217.666666667||| median x_gap: 248.0
1955 5 % (Div.Sch.Nr. 45)||| max x_gap: 247.0||| mean x_gap: 163.75||| median x_gap: 145.5
31.12.1954 31.12.1955||| max x_gap: 278.0||| mean x_gap: 278.0||| median x_gap: 278.0
Anlagevermögen 112 557 115 998||| max x_gap: 199.0||| mean x_gap: 135.5||| median x_gap: 128.0
Umlaufvermögen 23 232 24 482||| max x_gap: 189.0||| mean x_gap: 133.0||| median x_gap: 127.5
Vorräte 7617 7585||| max x_gap: 351.0||| mean x_gap: 303.0||| median x_gap: 303.0
Lieferforderungen 921 892||| max x_gap: 259.0||| mean x_gap: 234.5||| median x_gap: 234.5
Barmittel) 8 292 4 241||| max x_gap: 297.0||| mean x_gap: 159.25||| median x_gap: 127.5
Eigenkapital 83 149 82 992||| max x_gap: 286.0||| mean x_gap: 157.5||| median x_gap: 128.0
(davon A. -K.) 69 035 69 035||| max x_gap: 216.0||| mean x_gap: 120.5||| median x_gap: 95.5
Fremdkapital 68 870 57 435||| max x_gap: 263.0||| mean x_gap: 151.0||| median x_gap: 127.5
Abschreibungen 12 124 13 183||| max x_gap: 215.0||| mean x_gap: 139.25||| median x_gap: 127.0
Steuern 1 937 2 245||| max x_gap: 386.0||| mean x_gap: 182.75||| median x_gap: 129.0
Jahreseinnahmen 84 230 93 105||| max x_gap: 526.0||| mean x_gap: 216.75||| median x_gap: 127.0
lerndamm 150||| max x_gap: 129.0||| mean x_gap: 129.0||| median x_gap: 129.0
Berlin 018 3581||| max x_gap: 262.0||| mean x_gap: 185.5||| median x_gap: 185.5
Dividendenab 1953/54: 2.4, 2.4, 2.4, 8,||| max x_gap: 200.0||| mean x_gap: 118.6||| median x_gap: 112.0
Ordnungsnr.d.Aktien: 503800||| max x_gap: 179.0||| mean x_gap: 179.0||| median x_gap: 179.0
Jahre 1963-1968 im Verhältnis 10:7||| max x_gap: 241.0||| mean x_gap: 163.75||| median x_gap: 170.0
ultimo 1948 10, 25 %||| max x_gap: 185.0||| mean x_gap: 126.75||| median x_gap: 132.5
ii 1949 %||| max x_gap: 323.0||| mean x_gap: 293.0||| median x_gap: 293.0
ii 1950 %||| max x_gap: 321.0||| mean x_gap: 292.5||| median x_gap: 292.5
n 1951||| max x_gap: 248.0||| mean x_gap: 248.0||| median x_gap: 248.0
If 1952 %||| max x_gap: 323.0||| mean x_gap: 292.5||| median x_gap: 292.5
fl 1953 %+)||| max x_gap: 378.0||| mean x_gap: 320.0||| median x_gap: 320.0
1954 185,75 %||| max x_gap: 242.0||| mean x_gap: 162.0||| median x_gap: 162.0
II 1955 %||| max x_gap: 322.0||| mean x_gap: 292.5||| median x_gap: 292.5
1956 194 %||| max x_gap: 169.0||| mean x_gap: 162.0||| median x_gap: 162.0
II 1957 %||| max x_gap: 322.0||| mean x_gap: 293.0||| median x_gap: 293.0
lt 1958 %||| max x_gap: 323.0||| mean x_gap: 293.0||| median x_gap: 293.0
II 1959 %||| max x_gap: 323.0||| mean x_gap: 293.0||| median x_gap: 293.0
30. Sept. 1960 449 %||| max x_gap: 169.0||| mean x_gap: 144.5||| median x_gap: 147.0
1951/52: 5% (Div.Sch.Nr. 1)||| max x_gap: 249.0||| mean x_gap: 164.0||| median x_gap: 169.0
1952/53: 7% (Div.Sch.Nr. 2)||| max x_gap: 248.0||| mean x_gap: 164.0||| median x_gap: 170.0
1953/54: 8% (Div.Sch.Nr. 4)||| max x_gap: 248.0||| mean x_gap: 164.0||| median x_gap: 169.0
1954/55: 9% (Div.Sch.Nr. 6)||| max x_gap: 248.0||| mean x_gap: 163.666666667||| median x_gap: 170.0
1955/56: 9% (Div.Sch.Nr. 8)||| max x_gap: 249.0||| mean x_gap: 164.0||| median x_gap: 168.0
1957/58: 12% (Div.Sch.Nr.13)||| max x_gap: 169.0||| mean x_gap: 129.0||| median x_gap: 129.0
30.9.1958 30.9.1959||| max x_gap: 259.0||| mean x_gap: 259.0||| median x_gap: 259.0
Anlagevermögen 477 595 517 166||| max x_gap: 180.0||| mean x_gap: 133.75||| median x_gap: 129.5
Umlaufvermögen 771 151 726 913||| max x_gap: 172.0||| mean x_gap: 132.0||| median x_gap: 130.0
Vorräte 283 430 296 387||| max x_gap: 340.0||| mean x_gap: 173.25||| median x_gap: 128.0
Lieferforderungen 242 078 241 023||| max x_gap: 396.0||| mean x_gap: 187.25||| median x_gap: 128.5
Barmittel) 138 500 105 375||| max x_gap: 283.0||| mean x_gap: 159.0||| median x_gap: 129.0
Eigenkapital 395 000 395 000||| max x_gap: 270.0||| mean x_gap: 156.0||| median x_gap: 128.5
(davon A. -K.) 310 000 310 000||| max x_gap: 205.0||| mean x_gap: 120.166666667||| median x_gap: 100.0
Fremdkapital 818 444 811 488||| max x_gap: 246.0||| mean x_gap: 149.75||| median x_gap: 129.5
Vortrag) 35 302 37 591||| max x_gap: 321.0||| mean x_gap: 168.0||| median x_gap: 128.5
Löhne und Gehälter 361 754 365 591||| max x_gap: 202.0||| mean x_gap: 127.0||| median x_gap: 107.5
Abschreibungen 61 771 66 001||| max x_gap: 195.0||| mean x_gap: 137.0||| median x_gap: 129.0
Ausweispfl. Steuern 29 501 30 500||| max x_gap: 172.0||| mean x_gap: 129.0||| median x_gap: 118.0
Sonstige Steuern 31 228 29 522||| max x_gap: 181.0||| mean x_gap: 143.6||| median x_gap: 161.0
Jahresrohertrag 574 607 583 137||| max x_gap: 420.0||| mean x_gap: 193.25||| median x_gap: 129.0
Beteiligungserträge 15 160 22 420||| max x_gap: 159.0||| mean x_gap: 117.0||| median x_gap: 105.5
H.-V.v. 12.9.1950; lt.H.-V.v.12.7.1955||| max x_gap: 255.0||| mean x_gap: 254.5||| median x_gap: 254.5
it. H.-V.v.29.4.1960 Erhöhung auf||| max x_gap: 426.0||| mean x_gap: 242.333333333||| median x_gap: 219.0
0rdnungsnr.d.Aktien: 629600||| max x_gap: 766.0||| mean x_gap: 766.0||| median x_gap: 766.0
ultimo 1948 34 %||| max x_gap: 186.0||| mean x_gap: 169.666666667||| median x_gap: 169.0
1949 59 %||| max x_gap: 171.0||| mean x_gap: 162.0||| median x_gap: 162.0
1950 94 %||| max x_gap: 169.0||| mean x_gap: 161.0||| median x_gap: 161.0
1951 142 %||| max x_gap: 171.0||| mean x_gap: 163.0||| median x_gap: 163.0
1952 132 %||| max x_gap: 170.0||| mean x_gap: 162.0||| median x_gap: 162.0
1953 126,5 %+)||| max x_gap: 218.0||| mean x_gap: 190.5||| median x_gap: 190.5
1954 215 %||| max x_gap: 170.0||| mean x_gap: 162.0||| median x_gap: 162.0
1955 260 %||| max x_gap: 171.0||| mean x_gap: 162.0||| median x_gap: 162.0
1956 260 %||| max x_gap: 171.0||| mean x_gap: 162.0||| median x_gap: 162.0
1957 290 %||| max x_gap: 169.0||| mean x_gap: 161.0||| median x_gap: 161.0
1958 535 %||| max x_gap: 169.0||| mean x_gap: 161.5||| median x_gap: 161.5
1959 815 %||| max x_gap: 170.0||| mean x_gap: 162.0||| median x_gap: 162.0
30.Sept. 1960 1 290 %||| max x_gap: 257.0||| mean x_gap: 145.0||| median x_gap: 123.5
1952: 7% (Div.Sch.Nr.1)||| max x_gap: 348.0||| mean x_gap: 209.0||| median x_gap: 209.0
1953-1957: je 12 % (Div.Sch.Nr.2,3,6,8,9)||| max x_gap: 347.0||| mean x_gap: 130.0||| median x_gap: 61.5
1958: 12% + 3% Bonus (Div.Sch.Nr.10)||| max x_gap: 299.0||| mean x_gap: 138.0||| median x_gap: 90.0
1959: 15 % (Div.Sch.Nr.il)||| max x_gap: 370.0||| mean x_gap: 162.333333333||| median x_gap: 67.0
seit 21.6.1948: 115 %||| max x_gap: 245.0||| mean x_gap: 128.666666667||| median x_gap: 91.0
seit 21.6.1948: 199,9 %||| max x_gap: 245.0||| mean x_gap: 144.666666667||| median x_gap: 108.0
31.12.1958 31.12.1959||| max x_gap: 290.0||| mean x_gap: 290.0||| median x_gap: 290.0
Anlagevermögen 5 248 4 596||| max x_gap: 194.0||| mean x_gap: 134.0||| median x_gap: 127.0
Umlaufvermögen 4 220 4 639||| max x_gap: 247.0||| mean x_gap: 176.0||| median x_gap: 192.0
Vorräte 1 237 1 382||| max x_gap: 319.0||| mean x_gap: 172.5||| median x_gap: 140.5
Lieferforderungen 980 952||| max x_gap: 280.0||| mean x_gap: 231.5||| median x_gap: 231.5
Barmittel) 1 430 1 079||| max x_gap: 262.0||| mean x_gap: 158.5||| median x_gap: 140.5
Eigenkapital 6 213 6 147||| max x_gap: 255.0||| mean x_gap: 156.5||| median x_gap: 141.5
(davon A.-K.) 2 625 2 625||| max x_gap: 285.0||| mean x_gap: 144.0||| median x_gap: 89.0
Fremdkapital 2 617 2 326||| max x_gap: 231.0||| mean x_gap: 150.25||| median x_gap: 140.5
Gewinn nach Vortrag 638 762||| max x_gap: 281.0||| mean x_gap: 184.0||| median x_gap: 172.5
Löhne u.Gehälter 2 084 2 344||| max x_gap: 251.0||| mean x_gap: 152.8||| median x_gap: 142.0
Abschreibungen 642 979||| max x_gap: 283.0||| mean x_gap: 276.0||| median x_gap: 276.0
Jahresrohertrag 4 363 5 123||| max x_gap: 193.0||| mean x_gap: 134.0||| median x_gap: 127.5
Dividenden ab 1954: 8,8,8,10,10,10 %||| max x_gap: 349.0||| mean x_gap: 149.25||| median x_gap: 92.5
Dividenden ab 1954; 8,10,11,12,14,14 %||| max x_gap: 289.0||| mean x_gap: 161.25||| median x_gap: 146.5
Dividenden ab 1954: 8,10,10,12,14,14 %||| max x_gap: 396.0||| mean x_gap: 161.0||| median x_gap: 96.0
Dividenden ab 1954; 8,8,8,10,12 %||| max x_gap: 275.0||| mean x_gap: 130.75||| median x_gap: 92.5
H.-V.v.13.12. 1955; lt.ao.H. -V.v.20.11.||| max x_gap: 458.0||| mean x_gap: 333.5||| median x_gap: 333.5
Ordnungsnr.d. Aktien: 843100||| max x_gap: 740.0||| mean x_gap: 740.0||| median x_gap: 740.0
ultimo 1949 65 DM||| max x_gap: 184.0||| mean x_gap: 147.333333333||| median x_gap: 170.0
1! 1950 63 DM||| max x_gap: 261.0||| mean x_gap: 172.666666667||| median x_gap: 168.0
t» 1951 85 DM||| max x_gap: 259.0||| mean x_gap: 174.0||| median x_gap: 174.0
fl 1952 150 DM||| max x_gap: 250.0||| mean x_gap: 170.0||| median x_gap: 171.0
II 1953 175 DM||| max x_gap: 262.0||| mean x_gap: 173.666666667||| median x_gap: 169.0
II 1954 275 DM||| max x_gap: 262.0||| mean x_gap: 173.333333333||| median x_gap: 169.0
tt 1955 846 DM||| max x_gap: 261.0||| mean x_gap: 173.666666667||| median x_gap: 169.0
II 1956 900 DM +)||| max x_gap: 260.0||| mean x_gap: 143.5||| median x_gap: 130.0
lt 1957 915 DM||| max x_gap: 261.0||| mean x_gap: 173.666666667||| median x_gap: 171.0
II 1958 1700 DM||| max x_gap: 263.0||| mean x_gap: 173.666666667||| median x_gap: 180.0
II 1959 3700 DM||| max x_gap: 263.0||| mean x_gap: 173.666666667||| median x_gap: 178.0
30.Sept. 1960 3500 DM||| max x_gap: 178.0||| mean x_gap: 134.0||| median x_gap: 145.0
1956: 11 % (Div.Sch.Nr. 1)||| max x_gap: 276.0||| mean x_gap: 131.25||| median x_gap: 97.5
1957: 12 % (Div.Sch.Nr. 2)||| max x_gap: 276.0||| mean x_gap: 131.0||| median x_gap: 99.0
1958: 14 % (Div.Sch.Nr. 3)||| max x_gap: 274.0||| mean x_gap: 130.25||| median x_gap: 99.0
1959: 14 % (Div.Sch.Nr. 5)||| max x_gap: 274.0||| mean x_gap: 126.75||| median x_gap: 92.0
seit 21.6.1948; 83 %||| max x_gap: 235.0||| mean x_gap: 121.666666667||| median x_gap: 79.0
31.12.1958 31.12.1959||| max x_gap: 287.0||| mean x_gap: 287.0||| median x_gap: 287.0
Grundkapital 1 200 1 600||| max x_gap: 189.0||| mean x_gap: 144.75||| median x_gap: 145.0
Anlagevermögen 36 097 46 012||| max x_gap: 193.0||| mean x_gap: 132.25||| median x_gap: 120.0
derungen 12 792 14 701||| max x_gap: 270.0||| mean x_gap: 163.75||| median x_gap: 146.0
Barmittel 11 944 10 330||| max x_gap: 286.0||| mean x_gap: 168.75||| median x_gap: 146.5
Sonstige Aktiva 744 1 055||| max x_gap: 264.0||| mean x_gap: 177.25||| median x_gap: 173.0
31.12.1958 31.12.:1959||| max x_gap: 307.0||| mean x_gap: 307.0||| median x_gap: 307.0
Eigenkapital 7 700 9 450||| max x_gap: 229.0||| mean x_gap: 154.25||| median x_gap: 146.0
(davon A.-K.) 3 750 5 000||| max x_gap: 195.0||| mean x_gap: 142.6||| median x_gap: 132.0
Stellungen 34 813 41 099||| max x_gap: 247.0||| mean x_gap: 157.75||| median x_gap: 144.0
Rückstellungen 8 453 9 765||| max x_gap: 240.0||| mean x_gap: 175.666666667||| median x_gap: 192.0
bindlichkeiten 9 449 10 663||| max x_gap: 193.0||| mean x_gap: 137.75||| median x_gap: 132.0
Sonstige Passiva 1 924 2 193||| max x_gap: 192.0||| mean x_gap: 141.4||| median x_gap: 132.0
Gewinnnach Vortrag 438 528||| max x_gap: 289.0||| mean x_gap: 243.0||| median x_gap: 281.0
31.12.]L958 31.12.1959||| max x_gap: 372.0||| mean x_gap: 372.0||| median x_gap: 372.0
Beitragseinnahmen 58 820 65 747||| max x_gap: 192.0||| mean x_gap: 117.5||| median x_gap: 95.0
Verwaltungskosten 9 493 10 579||| max x_gap: 193.0||| mean x_gap: 119.75||| median x_gap: 96.0
liehe Abgaben 623 660||| max x_gap: 289.0||| mean x_gap: 249.0||| median x_gap: 263.0
sicherungsfälle 33 694 39 744||| max x_gap: 191.0||| mean x_gap: 130.5||| median x_gap: 117.5
beiträge 27 832 30 402||| max x_gap: 287.0||| mean x_gap: 168.25||| median x_gap: 146.0
Trier 60 46-48,60 44||| max x_gap: 207.0||| mean x_gap: 135.0||| median x_gap: 135.0
München 05/22189||| max x_gap: 357.0||| mean x_gap: 357.0||| median x_gap: 357.0
Sinzig (Rhein) 08/61856||| max x_gap: 247.0||| mean x_gap: 206.0||| median x_gap: 206.0
Ehrang 04/7887||| max x_gap: 363.0||| mean x_gap: 363.0||| median x_gap: 363.0
H.-V.v. 30.6.1950. Lt.H. -V.v. 31. 7.1955||| max x_gap: 255.0||| mean x_gap: 231.0||| median x_gap: 240.0
501900 (St.-Akt.); 501903 (Vorz.-Akt.)||| max x_gap: 294.0||| mean x_gap: 233.666666667||| median x_gap: 247.0
ultimo 1948 45 %||| max x_gap: 214.0||| mean x_gap: 178.333333333||| median x_gap: 175.0
ii 1949 70 %||| max x_gap: 291.0||| mean x_gap: 203.666666667||| median x_gap: 176.0
tf 1950 76 %||| max x_gap: 290.0||| mean x_gap: 204.0||| median x_gap: 176.0
it 1951 96 %||| max x_gap: 289.0||| mean x_gap: 203.666666667||| median x_gap: 176.0
ii 1952 72 %||| max x_gap: 278.0||| mean x_gap: 200.333333333||| median x_gap: 176.0
it 1953 75 %||| max x_gap: 280.0||| mean x_gap: 200.333333333||| median x_gap: 174.0
ii 1954 120 %||| max x_gap: 292.0||| mean x_gap: 204.333333333||| median x_gap: 176.0
ti 1955 180 %||| max x_gap: 291.0||| mean x_gap: 204.333333333||| median x_gap: 177.0
ii 1956 215 %+)||| max x_gap: 292.0||| mean x_gap: 222.666666667||| median x_gap: 202.0
ti 1957 194 %||| max x_gap: 292.0||| mean x_gap: 204.333333333||| median x_gap: 175.0
it 1958 270 %||| max x_gap: 279.0||| mean x_gap: 200.0||| median x_gap: 176.0
ti 1959 490 %||| max x_gap: 291.0||| mean x_gap: 203.666666667||| median x_gap: 176.0
n 1960 540 %||| max x_gap: 281.0||| mean x_gap: 200.0||| median x_gap: 174.0
ii 1961 483 %||| max x_gap: 290.0||| mean x_gap: 204.333333333||| median x_gap: 178.0
ti 1962 380 %||| max x_gap: 290.0||| mean x_gap: 204.0||| median x_gap: 177.0
1963 378 %||| max x_gap: 176.0||| mean x_gap: 160.5||| median x_gap: 160.5
30. Sept. 1964 361 %||| max x_gap: 287.0||| mean x_gap: 203.333333333||| median x_gap: 181.0
ultimo 1956 213 %+)||| max x_gap: 215.0||| mean x_gap: 196.666666667||| median x_gap: 200.0
ti 1957 192 %||| max x_gap: 291.0||| mean x_gap: 203.666666667||| median x_gap: 198.0
ti 1958 265 %||| max x_gap: 291.0||| mean x_gap: 203.666666667||| median x_gap: 198.0
ti 1959 485 %||| max x_gap: 292.0||| mean x_gap: 203.666666667||| median x_gap: 196.0
ti 1960 535 %||| max x_gap: 291.0||| mean x_gap: 204.0||| median x_gap: 170.0
ii 1961 478 %||| max x_gap: 286.0||| mean x_gap: 203.333333333||| median x_gap: 202.0
n 1962 380 %||| max x_gap: 279.0||| mean x_gap: 200.666666667||| median x_gap: 202.0
ii 1963 380 %||| max x_gap: 290.0||| mean x_gap: 203.666666667||| median x_gap: 199.0
30. Sept. 1964 360 %||| max x_gap: 203.0||| mean x_gap: 152.25||| median x_gap: 144.5
(21.9.); Div.Sch.Nr. 10||| max x_gap: 233.0||| mean x_gap: 212.5||| median x_gap: 212.5
31.12.1962 31.12.1963||| max x_gap: 288.0||| mean x_gap: 288.0||| median x_gap: 288.0
Anlagevermögen 48 295 48 905||| max x_gap: 240.0||| mean x_gap: 130.75||| median x_gap: 118.0
Beteiligungen) 19 265 20 656||| max x_gap: 192.0||| mean x_gap: 135.25||| median x_gap: 128.0
Umlaufvermögen 23 191 20 742||| max x_gap: 192.0||| mean x_gap: 128.25||| median x_gap: 114.0
Vorräte 12 824 11 362||| max x_gap: 293.0||| mean x_gap: 168.75||| median x_gap: 143.0
Wertpapiere) 2 144 2 243||| max x_gap: 262.0||| mean x_gap: 183.333333333||| median x_gap: 190.0
31.12.1962 31.12.1963||| max x_gap: 184.0||| mean x_gap: 184.0||| median x_gap: 184.0
Eigenkapital 35 375 35 196||| max x_gap: 228.0||| mean x_gap: 153.25||| median x_gap: 144.0
(davon A. -K.) 13 350 13 350||| max x_gap: 191.0||| mean x_gap: 118.0||| median x_gap: 100.0
Fremdkapital 33 348 31 871||| max x_gap: 207.0||| mean x_gap: 146.5||| median x_gap: 142.5
Gewinnnach Vortrag 2 055 2 062||| max x_gap: 339.0||| mean x_gap: 180.25||| median x_gap: 143.5
1962 1963||| max x_gap: 290.0||| mean x_gap: 290.0||| median x_gap: 290.0
Löhne und Gehälter 25 671 24 207||| max x_gap: 199.0||| mean x_gap: 125.0||| median x_gap: 96.5
Abschreibungen 5 842 4 711||| max x_gap: 192.0||| mean x_gap: 134.5||| median x_gap: 125.5
EEV-Steuern u.LAG 2 231 2 754||| max x_gap: 239.0||| mean x_gap: 156.6||| median x_gap: 159.0
Sonstige Steuern 2 688 2 504||| max x_gap: 190.0||| mean x_gap: 140.4||| median x_gap: 139.0
Umsatzerlöse 73 156 71 356||| max x_gap: 199.0||| mean x_gap: 145.5||| median x_gap: 143.5
17.8.1955 Erhöhung auf DM 55 000 000. -||| max x_gap: 370.0||| mean x_gap: 117.571428571||| median x_gap: 85.0
und lt.H.-V.v.2.6.1964 auf||| max x_gap: 466.0||| mean x_gap: 263.0||| median x_gap: 263.0
Wertpapier-Kenn-Nr.: 692100||| max x_gap: 215.0||| mean x_gap: 215.0||| median x_gap: 215.0
ultimo 1948 15 %||| max x_gap: 213.0||| mean x_gap: 188.333333333||| median x_gap: 199.0
it 1949 29 %||| max x_gap: 292.0||| mean x_gap: 214.333333333||| median x_gap: 199.0
m 1950 40,5 %||| max x_gap: 280.0||| mean x_gap: 210.333333333||| median x_gap: 244.0
ti 1951 48,5 %||| max x_gap: 288.0||| mean x_gap: 214.333333333||| median x_gap: 249.0
it 1952 26,5 %||| max x_gap: 278.0||| mean x_gap: 210.666666667||| median x_gap: 247.0
